is_actived,Genero,Edad,city_owner,estrato,price_plan,nombre_zone,ventas_Retiradas_causales,Retiro,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
Orden creada,H,63,Cali,3,69749.0,S,No Aplica,NO,No Aplica,8,17,1,60-69,Internet,300
Anulado,H,22,Cali,3,62250.0,O,No Aplica,NO,No Aplica,8,18,0,18-29,Internet,200
Orden creada,M,49,Cali,2,56249.0,O,No Aplica,NO,No Aplica,8,18,1,40-49,Internet,100
Rechazado,H,40,Cali,5,69749.0,S,No Aplica,NO,Otro,8,19,0,40-49,Internet,300
Rechazado,H,25,Cali,2,66399.0,O,No Aplica,NO,Otro,8,19,0,18-29,Internet-voz,200
Orden creada,H,46,Jamundi,4,69749.0,S,No Aplica,NO,No Aplica,8,20,1,40-49,Internet,300
Orden creada,M,26,Cali,3,62250.0,S,No Aplica,NO,No Aplica,8,21,1,18-29,Internet,200
Orden creada,H,34,Cali,2,66399.0,O,No Aplica,NO,No Aplica,8,22,1,30-39,Internet-voz,200
Orden creada,H,22,Cali,1,62250.0,O,Voluntario,SI,No Aplica,8,22,1,18-29,Internet,200
Orden creada,H,64,Cali,1,56249.0,O,No Aplica,NO,No Aplica,8,22,1,60-69,Internet,100
Orden creada,M,27,Yumbo,3,56249.0,N,No Aplica,NO,No Aplica,8,22,1,18-29,Internet,100
Orden creada,H,54,Jamundi,2,56249.0,S,Anulacion,SI,No Aplica,8,22,1,50-59,Internet,100
Rechazado,H,62,Cali,1,66399.0,O,No Aplica,NO,Otro,8,23,0,60-69,Internet-voz,200
Rechazado,H,66,Cali,3,66399.0,S,No Aplica,NO,Otro,8,24,0,60-69,Internet-voz,200
Orden creada,M,34,Cali,3,74399.0,S,Voluntario,SI,No Aplica,8,24,1,30-39,Internet-voz,300
Orden creada,M,38,Cali,2,59999.0,O,Voluntario,SI,No Aplica,8,24,1,30-39,Internet-voz,100
Orden creada,H,62,Cali,3,59999.0,S,No Aplica,NO,No Aplica,8,24,1,60-69,Internet-voz,100
Orden creada,H,24,Cali,3,56249.0,O,Voluntario,SI,No Aplica,8,24,1,18-29,Internet,100
Orden creada,H,24,Cali,3,59999.0,N,Anulacion,SI,No Aplica,8,24,1,18-29,Internet-voz,100
Orden creada,M,29,Jamundi,4,56249.0,S,No Aplica,NO,No Aplica,8,24,1,18-29,Internet,100
Rechazado,H,60,Cali,2,59999.0,O,No Aplica,NO,Otro,8,24,0,60-69,Internet-voz,100
Orden creada,M,21,Cali,3,66399.0,O,No Aplica,NO,No Aplica,8,25,1,18-29,Internet-voz,200
Orden creada,H,48,Cali,2,56249.0,C,No Aplica,NO,No Aplica,8,25,1,40-49,Internet,100
Rechazado,H,60,Cali,2,62250.0,O,No Aplica,NO,Otro,8,25,0,60-69,Internet,200
Rechazado,H,48,Cali,3,62250.0,N,No Aplica,NO,Otro,8,25,0,40-49,Internet,200
Orden creada,H,63,Cali,3,62250.0,N,Voluntario,SI,No Aplica,8,25,1,60-69,Internet,200
Orden creada,H,65,Cali,3,74399.0,S,No Aplica,NO,No Aplica,8,26,1,60-69,Internet-voz,300
Orden creada,H,27,Cali,2,66399.0,O,No Aplica,NO,No Aplica,8,27,1,18-29,Internet-voz,200
Orden creada,H,41,Cali,2,62250.0,O,No Aplica,NO,No Aplica,8,28,1,40-49,Internet,200
Orden creada,H,25,Cali,3,69749.0,C,Voluntario,SI,No Aplica,8,28,1,18-29,Internet,300
Rechazado,H,63,Cali,3,69749.0,O,No Aplica,NO,Otro,8,28,0,60-69,Internet,300
Orden creada,M,33,Cali,3,74399.0,O,No Aplica,NO,No Aplica,8,28,1,30-39,Internet-voz,300
Orden creada,M,24,Cali,2,56249.0,O,No Aplica,NO,No Aplica,8,28,1,18-29,Internet,100
Orden creada,H,21,Cali,3,62250.0,O,No Aplica,NO,No Aplica,8,28,1,18-29,Internet,200
Orden creada,M,43,Cali,4,74399.0,O,No Aplica,NO,No Aplica,8,28,1,40-49,Internet-voz,300
Orden creada,M,63,Cali,3,74399.0,S,Cartera,SI,No Aplica,8,28,1,60-69,Internet-voz,300
